"names.deg.","deg","degree_centrality","closeness_centrality","eigenvector_centrality","betweenness_centrality"
"ACN9",131,131,1.9205508742192e-09,0.0776104803881354,0
"ACO1",96,96,1.9205508742192e-09,0.059683083654796,0
"ACO2",126,126,1.9205508742192e-09,0.0740640496655655,0
"ACOT1",77,77,1.9205508742192e-09,0.0484663069821034,0
"ACOT13",133,133,1.9205508742192e-09,0.0793510010323702,0
"ACOT2",81,81,1.9205508742192e-09,0.0519765661035051,0
"ACOT7",116,116,1.9205508742192e-09,0.070763497687588,0
"ACOT8",125,125,1.9205508742192e-09,0.0746345658690185,0
"ACOT9",117,117,1.9205508742192e-09,0.0696166918104203,0
"ACOX1",137,137,1.9205508742192e-09,0.0793064607233105,0
"ACOX2",45,45,1.9205508742192e-09,0.0288911724467798,0
"ACOX3",117,117,1.9205508742192e-09,0.0722637432791332,0
"ACP1",113,113,1.9205508742192e-09,0.0711447397773926,0
"ACP2",136,136,1.9205508742192e-09,0.0790699797812684,0
"ACPT",31,31,1.9205508742192e-09,0.0174707818837899,0
"ACRV1",17,17,1.9205508742192e-09,0.0117915472090961,0
"ACSF2",92,92,1.9205508742192e-09,0.0597517631989953,0
"ACSF3",119,119,1.9205508742192e-09,0.0707658598286364,0
"ACSL1",96,96,1.9205508742192e-09,0.0603454279981259,0
"ACSL3",132,132,1.9205508742192e-09,0.0767757328983544,0
"ACSL4",93,93,1.9205508742192e-09,0.0602336762034904,0
"ACSL5",75,75,1.9205508742192e-09,0.0462458049133469,0
"ACSM1",42,42,1.9205508742192e-09,0.0286860860607241,0
"ACSM3",84,84,1.9205508742192e-09,0.0533795220773424,0
"ACSM4",47,47,1.9205508742192e-09,0.0310655707882752,0
"ACSS1",90,90,1.9205508742192e-09,0.0580544834093177,0
"ACSS2",118,118,1.9205508742192e-09,0.0695776941419017,0
"ACSS3",60,60,1.9205508742192e-09,0.0394737984068489,0
"ACTB",143,143,1.9205508742192e-09,0.0805518979317999,0
"ACTG1",127,127,1.9205508742192e-09,0.0753634042988224,0
"ACTL6A",126,126,1.9205508742192e-09,0.0763365841428327,0
"ACTL6B",71,71,1.9205508742192e-09,0.0472339240348285,0
"ACTN1",114,114,1.9205508742192e-09,0.0682349056648011,0
"ACTN3",120,120,1.9205508742192e-09,0.0726670042432873,0
"ACTN4",116,116,1.9205508742192e-09,0.0701268414544943,0
"ACTR10",108,108,1.9205508742192e-09,0.0669298763522191,0
"ACTR1A",125,125,1.9205508742192e-09,0.074882922747031,0
"ACTR1B",132,132,1.9205508742192e-09,0.0777403588985557,0
"ACTR2",135,135,1.9205508742192e-09,0.0792402464845644,0
"ACTR3",136,136,1.9205508742192e-09,0.0793458875431123,0
"ACTR3B",115,115,1.9205508742192e-09,0.071892448879581,0
"ACTR3C",120,120,1.9205508742192e-09,0.0710913199540557,0
"ACTR5",97,97,1.9205508742192e-09,0.0616850884469811,0
"ACTR6",118,118,1.9205508742192e-09,0.0725025960846678,0
"ACTR8",104,104,1.9205508742192e-09,0.0656128146055585,0
"ACTRT3",89,89,1.9205508742192e-09,0.055819098706337,0
"ACVR1",96,96,1.9205508742192e-09,0.0616497148036555,0
"ACVR1B",81,81,1.9205508742192e-09,0.0520285058652297,0
"ACVR1C",60,60,1.9205508742192e-09,0.0403244193998865,0
"ACVR2A",99,99,1.9205508742192e-09,0.0627448512710568,0
"ACVRL1",69,69,1.9205508742192e-09,0.0459876586920831,0
"ACY1",126,126,1.9205508742192e-09,0.074909643245364,0
"ACYP1",100,100,1.9205508742192e-09,0.0630195724130643,0
"ACYP2",120,120,1.9205508742192e-09,0.0744723929368199,0
"ADAL",119,119,1.9205508742192e-09,0.0727657923544627,0
"ADAM10",119,119,1.9205508742192e-09,0.0738837266947896,0
"ADAM17",132,132,1.9205508742192e-09,0.0774921617407036,0
"ADAM19",82,82,1.9205508742192e-09,0.0540053713532423,0
"ADAM22",100,100,1.9205508742192e-09,0.0636774475466216,0
"ADAM28",49,49,1.9205508742192e-09,0.0322946079421842,0
"ADAM9",121,121,1.9205508742192e-09,0.0750449837598116,0
"ADAMTS16",43,43,1.9205508742192e-09,0.0289231530080748,0
"ADAMTS3",101,101,1.9205508742192e-09,0.0628886082642266,0
"ADAMTS4",77,77,1.9205508742192e-09,0.0488872139472344,0
"ADAMTS6",108,108,1.9205508742192e-09,0.0664289033406496,0
"ADAMTSL5",91,91,1.9205508742192e-09,0.0564595554544295,0
"ADAP1",72,72,1.9205508742192e-09,0.0474595752067963,0
"ADAR",120,120,1.9205508742192e-09,0.0724470626486616,0
"ADARB1",117,117,1.9205508742192e-09,0.0688169363638366,0
"ADAT1",123,123,1.9205508742192e-09,0.075054851080207,0
"ADAT2",139,139,1.9205508742192e-09,0.0794954877689401,0
"ADAT3",128,128,1.9205508742192e-09,0.0756171660957023,0
"ADCK1",112,112,1.9205508742192e-09,0.0696057747566023,0
"ADCK3",133,133,1.9205508742192e-09,0.0790703202357302,0
"ADCK4",136,136,1.9205508742192e-09,0.0782006224861857,0
"ADCK5",132,132,1.9205508742192e-09,0.0784754829226409,0
"ADCY10",53,53,1.9205508742192e-09,0.0346509358481474,0
"ADCY4",80,80,1.9205508742192e-09,0.0530524039134668,0
"ADCY6",68,68,1.9205508742192e-09,0.0443411104858326,0
"ADCY9",67,67,1.9205508742192e-09,0.0449581543852589,0
"ADD1",119,119,1.9205508742192e-09,0.0704595000418728,0
"ADD3",88,88,1.9205508742192e-09,0.0558172546689616,0
"ADH4",32,32,1.9205508742192e-09,0.0206126779957037,0
"ADH5",114,114,1.9205508742192e-09,0.0714502173164165,0
"ADH6",31,31,1.9205508742192e-09,0.0201639325127792,0
"ADHFE1",98,98,1.9205508742192e-09,0.0628912879497013,0
"ADI1",123,123,1.9205508742192e-09,0.0747526881351563,0
"ADIPOR1",119,119,1.9205508742192e-09,0.0711406149131236,0
"ADIPOR2",119,119,1.9205508742192e-09,0.0730988732602656,0
"ADIRF",79,79,1.9205508742192e-09,0.051944476432841,0
"ADK",134,134,1.9205508742192e-09,0.0788543978238707,0
"ADM",110,110,1.9205508742192e-09,0.0654438838466184,0
"ADNP",146,146,1.9205508742192e-09,0.0817302415801585,0
"ADNP2",99,99,1.9205508742192e-09,0.0626978932757784,0
"ADO",122,122,1.9205508742192e-09,0.0750578028365991,0
