"gene_name","meth_category"
"NECAB3","TSS1500"
"NEDD4","TSS1500"
"NEK9","TSS1500"
"NET1","TSS200"
"NFAM1","TSS200"
"NFE2","TSS1500"
"NFRKB","TSS1500"
"NHLRC4","TSS200"
"NKX2-3","TSS1500"
"NLRC4","TSS200"
"NLRP3","TSS1500"
"NOL3","TSS1500"
"NOP58","TSS1500"
"NPFF","TSS1500"
"NPR 2.00","TSS1500"
"NR1H3","TSS1500"
"NR1H3","TSS200"
"NR1I2","TSS1500"
"NR1I2","TSS200"
"NSFL1C","TSS1500"
"NSFL1C","TSS200"
"NT5C2","TSS1500"
"NTNG2","TSS1500"
"NUPL1","TSS1500"
"NXF1","TSS1500"
"NYNRIN","TSS200"
"ODF3B","TSS200"
"OLR1","TSS200"
"OR1F2P","TSS1500"
"OR2B11","TSS1500"
"OSCAR","TSS200"
"OSGIN1","TSS1500"
"OTUB1","TSS1500"
"OTUB2","TSS1500"
"OVCA2","TSS1500"
"P2RX1","TSS1500"
"PA2G4P4","TSS1500"
"PACS2","TSS1500"
"PALM","TSS1500"
"PARVG","TSS1500"
"PARVG","TSS200"
"PCDH24","TSS1500"
"PCDHB13","TSS200"
"PCK2","TSS1500"
"PCYT2","TSS1500"
"PDE4DIP","TSS1500"
"PER1","TSS1500"
"PET117","TSS1500"
"PF4V1","TSS1500"
"PFKFB3","TSS1500"
"PGBD3","TSS1500"
"PGLYRP2","TSS1500"
"PGLYRP4","TSS1500"
"PGM1","TSS1500"
"PGM3","TSS1500"
"PHACTR3","TSS200"
"PHGR1","TSS1500"
"PHLDB1","TSS1500"
"PICALM","TSS1500"
"PIGY","TSS1500"
"PIK3R1","TSS1500"
"PIK3R5","TSS1500"
"PIK3R6","TSS1500"
"PILRA","TSS1500"
"PILRA","TSS200"
"PILRB","TSS1500"
"PLAC8","TSS1500"
"PLAU","TSS1500"
"PLCB2","TSS1500"
"PLCH1","TSS1500"
"PLCL2","TSS1500"
"PLEC1","TSS200"
"PLEKHA6","TSS1500"
"PLEKHA6","TSS200"
"PLEKHG3","TSS1500"
"PLEKHG7","TSS1500"
"PLIN4","TSS1500"
"PLTP","TSS1500"
"PLUNC","TSS1500"
"PLXNB1","TSS1500"
"PLXNB1","TSS200"
"PNKD","TSS1500"
"PNPLA2","TSS200"
"POLR2L","TSS1500"
"PPBPL1","TSS1500"
"PPFIA4","TSS200"
"PPFIBP2","TSS1500"
"PRAM1","TSS1500"
"PREX1","TSS1500"
"PREX2","TSS1500"
"PRG2","TSS200"
"PRKAG1","TSS1500"
"PRKAR1B","TSS1500"
"PRKAR1B","TSS200"
"PRR5","TSS200"
"PRSS8","TSS1500"
"PRTN3","TSS1500"
"PRTN3","TSS200"
"PSTPIP2","TSS1500"
"PTP4A1","TSS1500"
"PTPN7","TSS1500"
"PVRL4","TSS1500"
"PVT1","TSS1500"
"PYCARD","TSS1500"
"QPRT","TSS200"
"R3HCC1","TSS1500"
"RAB11FIP1","TSS1500"
"RAB11FIP3","TSS1500"
"RAB11FIP3","TSS200"
"RAB13","TSS200"
"RAB19","TSS1500"
"RAB1B","TSS1500"
"RAB32","TSS1500"
"RAB34","TSS1500"
"RAB34","TSS200"
"RAB37","TSS1500"
"RABGEF1","TSS1500"
"RALB","TSS1500"
"RALBP1","TSS1500"
"RALGAPA2","TSS1500"
"RALGDS","TSS1500"
"RAPGEF3","TSS1500"
"RAPGEF3","TSS200"
"RAPSN","TSS1500"
"RARA","TSS200"
"RARRES1","TSS1500"
"RBKS","TSS1500"
"RBM16","TSS1500"
"RBM19","TSS1500"
"RBM47","TSS1500"
"RBM9","TSS200"
"RFT1","TSS1500"
"RGL2","TSS1500"
"RHOBTB2","TSS1500"
"RIC8B","TSS1500"
"RING1","TSS1500"
"RNASE2","TSS1500"
"RNASE3","TSS1500"
"RNASE7","TSS1500"
"RNF123","TSS1500"
"RNF126P1","TSS1500"
"RNF135","TSS1500"
"RNF19A","TSS200"
"RORC","TSS1500"
"RPH3AL","TSS200"
"RPL15","TSS1500"
"RPN1","TSS1500"
"RSAD2","TSS1500"
"RSPH6A","TSS1500"
"RSPH6A","TSS200"
"RTN3","TSS1500"
"RXFP4","TSS1500"
"S100A11","TSS1500"
"S100A12","TSS1500"
"S100A7A","TSS1500"
"S100A8","TSS200"
"S100P","TSS200"
"SAMD13","TSS1500"
"SCAMP4","TSS1500"
"SCARF1","TSS1500"
"SCARF1","TSS200"
"SCNN1A","TSS1500"
"SCOC","TSS200"
"SENP6","TSS1500"
"SEPP1","TSS1500"
"SEPT9","TSS1500"
"SERPINB3","TSS200"
"SERPINF1","TSS200"
"SESTD1","TSS1500"
"SFTPD","TSS1500"
"SFTPD","TSS200"
"SGK1","TSS1500"
"SGK2","TSS1500"
"SGK3","TSS1500"
"SH2D3C","TSS1500"
"SH2D3C","TSS200"
"SH3BP5","TSS1500"
"SH3D20","TSS1500"
"SH3D20","TSS200"
"SH3TC1","TSS1500"
"SHC1","TSS1500"
"SHC1","TSS200"
"SILV","TSS200"
"SIRPB2","TSS1500"
"SIRT5","TSS1500"
"SLAIN1","TSS1500"
"SLC10A1","TSS200"
"SLC11A1","TSS200"
"SLC12A7","TSS1500"
"SLC13A3","TSS200"
"SLC16A3","TSS200"
"SLC17A9","TSS1500"
"SLC22A18","TSS200"
"SLC22A20","TSS1500"
"SLC23A1","TSS200"
"SLC25A18","TSS1500"
"SLC25A28","TSS1500"
"SLC27A3","TSS1500"
"SLC2A11","TSS1500"
"SLC2A4RG","TSS1500"
"SLC2A5","TSS1500"
"SLC2A9","TSS200"
"SLC35C1","TSS1500"
"SLC35C1","TSS200"
"SLC39A1","TSS1500"
"SLC39A10","TSS1500"
"SLC45A4","TSS200"
"SLC7A5","TSS1500"
"SLC8A1","TSS1500"
"SLCO5A1","TSS1500"
"SLFN13","TSS1500"
"SLFN13","TSS200"
"SMOC2","TSS200"
"SNORA18","TSS1500"
"SNORA22","TSS1500"
"SNORA30","TSS1500"
"SNORA54","TSS1500"
"SNORA8","TSS1500"
"SNORD127","TSS1500"
"SNORD5","TSS1500"
"SNORD53","TSS200"
"SNTB1","TSS1500"
"SNX21","TSS1500"
"SPATC1","TSS1500"
"SPATS1","TSS1500"
"SPEF1","TSS1500"
"SPI1","TSS200"
"SPP1","TSS1500"
"SPRED2","TSS1500"
"SPRED2","TSS200"
"SREBF1","TSS1500"
"SS18L2","TSS1500"
"SSH3","TSS1500"
"SSTR4","TSS200"
"ST7OT2","TSS1500"
"ST8SIA6","TSS1500"
"STAB1","TSS1500"
"STAB1","TSS200"
"STARD6","TSS1500"
"STAT5A","TSS1500"
"STK38L","TSS1500"
"STK40","TSS1500"
"STL","TSS1500"
"STON1-GTF2A1L","TSS200"
"SULT1C2","TSS1500"
"SULT1C4","TSS200"
"SULT6B1","TSS1500"
"SUMO1P1","TSS200"
"SUPT16H","TSS1500"
"SYDE1","TSS1500"
"SYNE1","TSS200"
"SYNPO","TSS1500"
"SYNPO","TSS200"
"TAAR3","TSS1500"
"TARM1","TSS200"
"TBC1D23","TSS1500"
"TBXA2R","TSS1500"
"TCEA2","TSS1500"
"TDRG1","TSS200"
"TGFB2","TSS1500"
"TGM5","TSS1500"
"THBS3","TSS200"
"TICAM2","TSS1500"
"TLR6","TSS1500"
"TM4SF4","TSS1500"
"TMEM100","TSS1500"
"TMEM126B","TSS1500"
"TMEM150B","TSS1500"
"TMEM159","TSS1500"
"TMEM183A","TSS1500"
"TMEM183B","TSS1500"
"TMEM206","TSS1500"
"TMEM42","TSS1500"
"TMEM59","TSS1500"
"TMEM91","TSS1500"
"TNFAIP1","TSS1500"
"TNFRSF10C","TSS1500"
"TNFSF13","TSS1500"
"TNFSF13","TSS200"
"TNFSF13B","TSS1500"
"TNK2","TSS1500"
"TP53I3","TSS1500"
"TP53INP2","TSS200"
"TPM3","TSS1500"
